Metrica,Periodo,Ambito,Italiani,Stranieri
Arrivi,2015-02,Esercizi alberghieri,190851,112398
Arrivi,2015-02,Esercizi extralberghieri,24987,18041
Arrivi,2015-03,Esercizi alberghieri,154251,100629
Arrivi,2015-03,Esercizi extralberghieri,20974,20147
Arrivi,2015-04,Esercizi alberghieri,81017,67450
Arrivi,2015-04,Esercizi extralberghieri,21375,21397
Arrivi,2015-05,Esercizi alberghieri,67334,88809
Arrivi,2015-05,Esercizi extralberghieri,22883,41978
Arrivi,2015-06,Esercizi alberghieri,100508,107233
Arrivi,2015-06,Esercizi extralberghieri,32915,44695
Arrivi,2015-07,Esercizi alberghieri,249844,135481
Arrivi,2015-07,Esercizi extralberghieri,88193,87612
Arrivi,2015-08,Esercizi alberghieri,346513,127198
Arrivi,2015-08,Esercizi extralberghieri,117593,84543
Arrivi,2015-09,Esercizi alberghieri,104556,126696
Arrivi,2015-09,Esercizi extralberghieri,29746,46924
Arrivi,2015-10,Esercizi alberghieri,46650,66544
Arrivi,2015-10,Esercizi extralberghieri,14204,13766
Arrivi,2015-11,Esercizi alberghieri,40016,15013
Arrivi,2015-11,Esercizi extralberghieri,9998,2796
Arrivi,2015-12,Esercizi alberghieri,231779,43536
Arrivi,2015-12,Esercizi extralberghieri,51520,7415
Presenze,2015-01,Esercizi alberghieri,848661,549070
Presenze,2015-01,Esercizi extralberghieri,150566,101359
Presenze,2015-02,Esercizi alberghieri,719643,690208
Presenze,2015-02,Esercizi extralberghieri,102295,120590
Presenze,2015-03,Esercizi alberghieri,606027,546605
Presenze,2015-03,Esercizi extralberghieri,96899,115528
Presenze,2015-04,Esercizi alberghieri,198714,262455
Presenze,2015-04,Esercizi extralberghieri,74788,92296
Presenze,2015-05,Esercizi alberghieri,138980,292266
Presenze,2015-05,Esercizi extralberghieri,76543,177441
Presenze,2015-06,Esercizi alberghieri,337546,380565
Presenze,2015-06,Esercizi extralberghieri,139800,221222
Presenze,2015-07,Esercizi alberghieri,1292325,489409
Presenze,2015-07,Esercizi extralberghieri,457332,479694
Presenze,2015-08,Esercizi alberghieri,1778507,462679
